nombre,genero,anio_nacimiento,anio_muerte,ocupacion,ciudadania,numero_lectores
Julio Londono Londono,Male,1901,1980,politician,Colombia,2776
Lucia G. Atehortua,Female,1949,0,botanist,Colombia,1898
Mario Espitia,Male,1983,0,presenter,Colombia,73636
Francisco Rada,Male,1907,2003,composer,Colombia,2111
Jonathan Restrepo,Male,1994,0,football,Colombia,7654
Cesar Canchila,Male,1982,0,boxer,Colombia,2452
Diego Ambuila,Male,1993,0,football,Colombia,3697
Natasha Hernandez,Female,1966,0,judo,Venezuela - Colombia,1129
Mychal Kearse,Male,1983,0,basket,Colombia - US,1055
Norida Rodriguez,Female,1968,0,actor,Colombia,98191
Michael Ortega,Male,1991,0,football,Colombia,139882
Laura of Saint Catherine of Siena,Female,1874,1949,religious,Colombia,896213
Waldo Urrego,Male,1945,0,actor,Colombia,24164
Salvatore Mancuso,Male,1964,0,militar,Colombia,390874
Cesar Grajales,Male,1973,0,sport,Colombia,834
Cesar Villarraga,Male,1985,0,boxer,Colombia,2213
Cesar Lopez,Male,1973,0,music,Colombia,17327
Jorge Ramirez Gallego,Male,1940,0,football,Colombia,12720
Jorge Ramon Caceres,Male,1948,0,football,Argentina - Colombia,12970
Damian Lanza,Male,1982,0,football,Ecuador - Colombia,42014
Daniel Bluman,Male,1990,0,equestrian,Colombia,8305
Daniel Caro Borda,Male,1939,0,priest,Colombia,856
Helena Araujo,Female,1934,2015,writer,Colombia - Switzerland,21299
Rodrigo Lara,Male,1946,1984,politician,Colombia,1912726
Daniel Jaramillo,Male,1991,0,sport,Colombia,19023
Daniel Rincon,Male,1975,0,sport,Colombia,4854
Daniel Zamudio,Male,1885,1952,composer,Colombia,1149
Carlos Sanchez Moreno,Male,1986,0,football,Colombia - France,1286561
Dario de Jesus Monsalve Mejia,Male,1948,0,priest,Colombia,10405
Francis Gomez,Female,1968,0,judo,Venezuela - Colombia,1215
Guillermo Fernandez de Soto,Male,1940,0,representative,Colombia,14672
Ivan Villazon,Male,1959,0,singer,Colombia,71467
Juan Cardenas,Male,1939,0,painter,Colombia,6123
Mariano de Jesus Euse Hoyos,Male,1845,1926,religious,Colombia,55583
Miguel Angel Builes,Male,1888,1971,priest,Colombia,33013
Pedro Palacio,Male,1978,0,actor,Colombia,87729
Froilan Tiberio Casas Ortiz,Male,1948,0,priest,Colombia,2091
Simon Trinidad,Male,1951,0,revolutionary,Colombia,190875
Jairo Rios,Male,1949,0,football,Colombia,4310
Jorge Henao (sport shooter),Male,1941,0,sport,Colombia,643
Kenny Martin Perez,Male,1994,0,athletic,Colombia,1242
Liberman Agamez,Male,1985,0,player,Colombia,40767
Lorena Zuleta,Female,1981,0,pallavolista,Colombia,2086
Maria Lucelly Murillo,Female,1991,0,athletic,Colombia,541
Mauricio Ortega (discus thrower),Male,1994,0,athletic,Colombia,5114
Milena Agudelo,Female,1985,0,athletic,Colombia,2400
Oscar Tunjo,Male,1996,0,driver,Colombia,11644
Baltasar Alvarez Restrepo,Male,1901,1988,priest,Colombia,630
Hector Ignacio Salah Zuleta,Male,1942,0,priest,Colombia,2976
Jose Ignacio de Marquez,Male,1793,1880,politician,Colombia,129932
Enrique Santos Montejo,Male,1886,1971,journalist,Colombia,32554
Justo Almario,Male,1949,0,saxophonist,Colombia,14816
Alberto Lleras Camargo,Male,1906,1990,secretary,Colombia,504537
Cesar Ramon Ortega Herrera,Male,1938,2021,priest,Colombia,1788
Diana Pineda,Female,1984,0,diver,Colombia,7222
Ingrid Hernandez,Female,1988,0,athletic,Colombia,2626
Adriana Arango (actriz),Female,1974,0,actor,Colombia,155209
Ana Victoria Beltran,Female,1980,0,actor,Colombia,85624
Carlos Vargas,Male,1979,0,presenter,Colombia,47247
Carmina Gallo,Female,1939,2004,singer,Colombia,8140
Dario Ortiz Vidales,Male,1936,2004,lawyer,Colombia,1713
Elkin Diaz,Male,1965,0,actor,Colombia,69268
Jorge Duque,Male,1974,0,designer,Colombia,7314
Juan Camilo Ferrand,Male,1976,0,screenwriter,Colombia,10718
Leandro Sepla y Oro,Male,1738,1810,unknown,Colombia,615
Lucas Vicente Joaquin de Borja y Lasteros,Male,1725,1772,general,Colombia,1684
Luz del Sol Neisa,Female,1987,0,actor,Colombia,23927
Reinaldo Manjarrez Munoz,Male,1976,0,politician,Colombia,2642
Reinaldo Lenis,Male,1992,0,football,Colombia,89187
Diego Tamayo,Male,1983,0,sport,Colombia,3686
Omar Delgado Gomez,Male,1941,1991,football,Colombia,1367
Jairo Jaramillo Monsalve,Male,1940,0,priest,Colombia,6395
Jaime R. Echavarria,Male,1923,2010,engineer,Colombia,14489
Luis Perez Gutierrez,Male,1952,0,politician,Colombia,109026
Juan Francisco Sarasti Jaramillo,Male,1938,2021,priest,Colombia,612
Rufino Jose Cuervo,Male,1844,1911,linguist,Colombia,76709
Ivan Parra,Male,1975,0,sport,Colombia,16718
Sergio Esteban Velez,Male,1983,0,poet,Colombia,4975
Ivor Grattan-Guinness,Male,1941,2014,mathematician,Colombia,27989
Francisco Escobar,Male,1991,0,model,Colombia,63847
Policarpa Salavarrieta,Female,1795,1817,independence,Colombia,1237176
Jorge Cao,Male,1944,0,actor,Colombia - Cuba,175532
Monica Uribe,Female,1986,0,singer,Colombia,26635
Adriana Campos,Female,1979,2015,actor,Colombia,929825
Juan Pablo Shuk,Male,1965,0,actor,Colombia,733550
Paola Rey,Female,1983,0,actor,Colombia,952581
Maria Fernanda Yepes,Female,1980,0,model,Colombia,848565
Adriana Silva (actriz),Female,1978,0,actor,Colombia,3383
Libardo Ramirez Gomez,Male,1933,0,priest,Colombia,347
Juan Alfonso Baptista,Male,1976,0,actor,Venezuela - Colombia,798060
Roberto Manrique,Male,1979,0,actor,Ecuador - Colombia,380578
Juan Pablo Raba,Male,1977,0,actor,Argentina - Colombia,1345022
Roberto Guerrero,Male,1958,0,driver,Colombia,95756
Laura Perico,Female,1989,0,actor,Colombia,393284
Teresa Gutierrez,Female,1928,2010,actor,Colombia - Argentina,323557
Fabian Rios (actor),Male,1980,0,actor,Colombia,905906
Sandra Beltran (actress),Female,1975,0,actor,Colombia,202950
