nombre,genero,anio_nacimiento,anio_muerte,ocupacion,ciudadania,numero_lectores
Betty Lucy Lopez Osorio,Female,1950,0,chemist,Colombia,3074
Nicolas Perea,Male,1992,0,football,Colombia,4047
Natalia Gutierrez Jaramillo,Female,0,0,politician,Colombia,2273
Rene Rebetez,Male,1933,1999,author,Mexico - Colombia,6657
Oscar de Moya,Male,1947,2015,announcer,Colombia,9070
Gusi,Male,1984,0,composer,Colombia,188560
Enrique Lozano,Male,1972,0,writer,Colombia,2556
Miguel Granados Arjona,Male,1929,2016,music,Colombia,2058
Ana Maria Groot,Female,1952,0,historian,Colombia,8633
Lianna,Female,1984,0,singer,Colombia,5820
Demetrio Mendoza,Male,1871,1953,priest,Colombia,910
Martha Osorio,Female,1964,0,actor,Colombia,16013
Miriam Prado Carrascal,Female,1965,0,politician,Colombia,7391
Julio Pachon,Male,1961,0,actor,Colombia,39071
Santiago Diaz Piedrahita,Male,1944,2014,botanist,Colombia,531
Alberto Narino Cheyne,Male,1903,0,independence,Colombia,634
Patricia Ariza,Female,1948,0,film,Colombia,18845
Hector Gallego,Male,1938,1971,religious,Colombia,44342
Virginia Rocha,Female,1970,0,singer,Colombia,4260
Tatiana Arango,Female,1987,0,actor,Colombia,33052
Maria Cristina Martinez,Female,1974,0,botanist,Colombia,1340
Enrique Perez Arbelaez,Male,1886,1972,botanist,Colombia,2034
Juan Esteban Aponte,Male,2004,0,actor,Colombia,36891
Luis Fernando Montoya,Male,1957,0,football,Colombia,124170
Andres Felipe Pineda,Male,1992,0,football,Colombia,2193
Peter Dominguez,Male,1990,0,football,Colombia,1819
Petronio Alvarez,Male,1914,1966,composer,Colombia,57316
Dumek Turbay,Male,1971,0,politician,Colombia,11605
Adalberto Ovalle Munoz,Male,1926,2003,lawyer,Colombia,1650
Adriana Betancur,Female,1980,0,model,Colombia,69007
Alejandro Linares Cantillo,Male,1959,0,lawyer,Colombia,6984
Raul Alzate,Male,1986,0,sport,Colombia,1021
Javier Antonio Angulo,Male,1990,0,football,Colombia,2703
Nilton Bernal,Male,1966,0,football,Colombia,9093
Sugar Baby Rojas,Male,1961,0,boxer,Colombia,2581
Kilmar Campos,Male,1963,0,judo,Venezuela - Colombia,394
Carolina Oliver,Female,1975,0,journalist,Colombia,9588
Eder Chaux,Male,1991,0,football,Colombia,3253
Elizabeth Castaneda del Gordo,Female,1948,0,biologist,Colombia,1633
Maria Cristina Ferro de Carrasquilla,Female,1947,2015,scientist,Colombia,3375
Johan Gomez,Male,1994,0,football,Ecuador - Colombia,4641
Jose Luis Henao Cadavid,Male,1954,0,priest,Colombia,1659
Lorena Henao Montoya,Female,1961,2012,widow,Colombia,163542
Jhon Lucumi,Male,1998,0,football,Colombia,31276
Julian Gutierrez Botero,Male,1953,0,governor,Colombia,1696
Eduardo Landazury,Male,1966,0,judo,Colombia,228
Maria McCausland,Female,1992,0,journalist,Colombia,13569
William Medina,Male,1968,0,judo,Colombia,1022
Duvan Torres,Male,1996,0,football,Colombia,2319
Alvaro Angulo,Male,1997,0,football,Colombia,2974
Milena Santander Leon,Female,1963,0,actor,Colombia,18548
Jairo Molina,Male,1993,0,football,Colombia,10125
Juan Patino,Male,1985,0,football,Colombia,7586
Patricia Chacon de Ulloa,Female,0,0,entomologist,Colombia,908
Luis Roberto Rivas,Male,1963,0,politician,Colombia,2954
Salvador Nazzar Nazzar,Male,1927,0,writer,Colombia,2229
Oscar Upegui,Male,1969,0,football,Colombia,5810
Manolo Villarreal,Male,1923,2014,radio,Colombia,644
Eliseo Vivas,Male,1901,1993,philosopher,Colombia,2461
Humberto Salcedo Collante,Male,1925,2015,politician,Colombia,3039
Sonia Velasquez,Female,1977,0,journalist,Colombia,4692
Olimpo Lopez,Male,1918,2015,chef,Colombia,3800
Hugo Restrepo,Male,1950,0,film,Colombia,1612
Luis Albeiro Maldonado Monsalve,Male,1958,0,priest,Colombia,504
Rodrigo Escobar Aristizabal,Male,1939,0,priest,Colombia,933
Rodrigo Mejia Saldarriaga,Male,1938,0,priest,Colombia,1303
Rodrigo Rivera Salazar,Male,1963,0,diplomat,Colombia,26240
Rodrigo Tovar Pupo,Male,1950,0,militar,Colombia,71483
Christian Blandon,Male,1992,0,football,Colombia,4762
Bryan Gomez,Male,1994,0,sport,Colombia,1450
Maria Alejandra Lopez,Female,1994,0,model,Colombia,39294
Luis Hernando Rodriguez,Male,1961,0,lawyer,Colombia,8223
Andrea Tovar,Female,1993,0,model,Colombia,469651
Jesus Maria Botero,Male,0,0,politician,Colombia,2876
Rolando Trujillo,Male,1978,0,sport,Colombia,587
Diana Marcela Bolanos Rodriguez,Female,1981,0,biologist,Colombia - Venezuela,1550
Geo von Lengerke,Male,1827,1882,engineer,Germany - Colombia,33794
Carlos Ibarguen,Male,1995,0,football,Colombia,86696
Daniela Ospina,Female,1992,0,player,Colombia,408388
David Ramirez-Gomez,Male,1981,0,painter,Colombia,373
Andrea Guerrero,Female,1983,0,journalist,Colombia,63992
Diana Calderon,Female,1968,0,journalist,Colombia,24566
Oscar Barreto,Male,1993,0,football,Colombia,38428
Cristian Borja (footballer born 1993),Male,1993,0,football,Colombia,67384
Yair Arboleda,Male,1996,0,football,Colombia,11985
Orlando Rivas,Male,1950,0,football,Colombia,1315
Miguel Angel Medina,Male,1995,0,football,Colombia,10418
Ronald Gomez (cyclisme),Male,1991,0,sport,Colombia,635
Mark Van Raamsdonk,Male,1973,0,academic,Canada - Colombia,10833
Camila Soleibe,Female,1996,0,model,Colombia,13292
Oscar Barreto Quiroga,Male,1961,0,lawyer,Colombia,16465
Fernando Osorio Cuenca,Male,1946,0,politician,Colombia,1762
Ruben Dario Rodriguez,Male,1947,0,lawyer,Colombia,2914
Hernando Burgos-Soto,Male,0,0,mathematician,Canada - Colombia,2176
Kermin Guardia,Male,1970,0,boxer,Colombia,513
Hermenegildo Segrera,Male,1945,0,football,Colombia,3177
Daniela Vega (modelo),Female,1992,0,journalist,Colombia,9696
Joaquin Martinez Mogollon,Male,1985,0,football,Colombia,1225
Francisco Vargas (athlete),Male,1963,0,athletic,Colombia,181
Gustavo Ramos Arjona,Male,0,0,politician,Colombia,906
Pedro Jose Cevallos,Male,1830,1892,politician,Colombia,7173
Matador (dessinateur),Male,1969,0,writer,Colombia,511
Fernando Rojas,Male,1968,0,composer,Colombia,4831
Luis Manrique,Male,1955,0,sport,Colombia,1219
Heber Renteria,Male,1990,0,football,Colombia,1086
Egan Bernal,Male,1997,0,sport,Colombia,331100
Pedro Soler,Male,1961,0,sport,Colombia,1586
Jorge Emilio Rey,Male,1976,0,politician,Colombia,46724
Camilo Reyes Rodriguez,Male,0,0,diplomat,Colombia,9093
Amilcar Osorio,Male,1940,1985,writer,Colombia,6813
Maurice Armitage,Male,1945,0,politician,Colombia,50776
Antony Otero,Male,1996,0,football,Colombia,10745
Jordy Monroy,Male,1996,0,football,Colombia,14129
Enrique Vargas,Male,1940,0,theatre,Colombia,101
Yilmar Mosquera,Male,1996,0,football,Colombia,3878
Karol G,Female,1991,0,singer,Colombia,1652411
John Henry Gonzalez Duque,Male,1966,0,farmer,Colombia,866
Alexander Posada,Male,1977,0,football,Colombia,1068
Henry Viafara,Male,1953,0,football,Colombia,2456
Luis Fernando Fernandez Lopez,Male,1978,0,football,Colombia,14280
Didier Tavera,Male,1976,0,lawyer,Colombia,24193
Samuel Montealegre,Male,1940,0,painter,Colombia,2280
David Fernando Lemos,Male,1995,0,football,Colombia,8059
Gulfran Tamara,Male,1996,0,football,Colombia,6740
Jair Mosquera,Male,1993,0,football,Colombia,7613
Leonardo Escorcia,Male,1996,0,football,Colombia,2515
Cristian Florez,Male,1994,0,football,Spain - Colombia,8712
Andres Felipe Alvarez,Male,1993,0,football,Colombia,7966
Arley Rodriguez,Male,1993,0,football,Colombia,85402
Daniel Ramirez Ramirez,Male,1995,0,football,Colombia,3084
Alex Daza,Male,1971,0,football,Colombia,4015
Jeison Suarez,Male,1997,0,football,Colombia,2321
Larry Vasquez,Male,1991,0,football,Colombia,53498
Daniel Londono,Male,1995,0,football,Colombia,17147
Julio Quinones,Male,1996,0,football,Colombia,2783
Erick Montano,Male,1995,0,football,Colombia,3608
Ederson Moreno,Male,1994,0,football,Colombia,2279
Senen Mosquera,Male,1938,2018,football,Colombia,6900
Peter Zipacon,Male,1986,0,football,Colombia,1538
Jose Manuel Rodriguez Becerra,Male,1965,0,football,Colombia,14703
Arturo Segovia,Male,1941,0,football,Colombia,5049
Over Garcia,Male,1992,0,football,Colombia,1434
Rafael Reyes (footballer),Male,1951,0,football,Colombia,1664
Fabio Ovalle,Male,1990,0,football,Colombia,391
Viviana Davila,Female,1991,0,journalist,Colombia,26151
Alexis Enrique Mendoza,Male,1989,0,football,Colombia,2529
Armando Gutierrez,Male,1959,0,actor,Colombia,48559
Brayan Sanchez,Male,1994,0,sport,Colombia,2398
Eduardo Luis Lopez,Male,1976,0,sport,Colombia,21777
Victor Becerra,Male,1972,0,sport,Colombia,487
Sandra Sepulveda,Female,1988,0,football,Colombia,14809
Manuel Maria Madiedo,Male,1815,1888,journalist,Colombia,211
Manuel Mejia Jaramillo,Male,1887,1958,entrepreneur,Colombia,318
Nicolas Rincon Gille,Male,1973,0,film,Colombia - Belgium,1037
Santos Cifuentes Rodriguez,Male,1870,1932,composer,Colombia,1369
Maiah Ocando,Female,0,0,singer,Venezuela - Colombia,28123
Francisco Fuentes,Male,1963,2016,humorist,Colombia,11730
Luisa Daniela Hernandez,Female,1997,0,sport,Colombia,1487
Viky Nunez Fuentes,Female,1988,0,player,Colombia,1088
Julian Quinones,Male,1997,0,football,Colombia,174924
Jhoan Rojas,Male,1992,0,football,Colombia,647
Juan Jose Calero,Male,1997,0,football,Colombia,7710
Wilson Way,Male,1990,0,singer,Colombia,5429
Alvaro Duarte,Male,1991,0,sport,Colombia,1035
Luz Marina Zuluaga,Female,1938,2015,model,Colombia,348780
Carlos Raul Yepes Jimenez,Male,1964,0,bank,Colombia,30275
Paulina Galvez (Miss International),Female,1980,0,model,Colombia - El Salvador,16221
Robert Campaz,Male,1992,0,football,Colombia,1697
German Aceros,Male,1938,2018,football,Colombia,28209
Delio Gamboa,Male,1936,2018,football,Colombia,37535
Vincenzo Candela,Male,1994,0,football,Colombia,3584
Heberth Gonzalez,Male,1958,0,football,Colombia,106
Fiorella D'Croz Brusatin,Female,1979,0,athletic,Colombia,1136
Miguel Rodriguez Orejuela,Male,1943,0,drug traffick,Colombia,4340868
Nixon Perea,Male,1973,0,football,Colombia,14624
Ivan Duque Escobar,Male,1937,2016,lawyer,Colombia,276219
Freddy Rincon,Male,1966,2022,football,Colombia,811487
Sebastian Salazar,Male,1990,0,sport,Colombia,672
Vina Machado,Female,1979,0,model,Colombia,133398
Ramiro Corzo,Male,1939,2016,actor,Colombia,6436
Dani Geliz,Male,1987,0,football,Colombia,313
Guillermo Padilla,Male,0,0,sport,Colombia,910
Joan Herrera (footballer),Male,1994,0,football,Colombia,7024
Alejandro Nieto Molina,Male,1968,2016,journalist,Colombia,15005
Ernesto Jorge Lanusse,Male,1921,1998,politician,Colombia,1843
Dario Sierra,Male,1967,0,football,Colombia,7679
Harold Isaza,Male,1995,0,football,Colombia,11717
Dayro Moreno,Male,1985,0,football,Colombia,705057
Jaime Agudelo,Male,1925,2009,actor,Colombia,30316
Sergio Alvarez (Schriftsteller),Male,1965,0,author,Colombia,13536
Arnulfo Valentierra,Male,1974,0,football,Colombia,39556
Oswal Alvarez,Male,1995,0,football,Colombia,57029
Lillo Brancato Jr.,Male,1976,0,actor,US - Colombia,879266
Arbey Mosquera,Male,1988,0,football,Colombia,2656
Jorge Hernando Nieto,Male,1954,0,officer,Colombia,24740
Carlos Arroyo Robles,Male,1996,0,football,Colombia,1889
Luis Quinonez,Male,1968,0,football,Colombia,1378
Antony de Avila,Male,1962,0,football,Colombia,128578
Zulay Henao,Female,1979,0,actor,US - Colombia,1305236
Miguel Florez,Male,1996,0,sport,Colombia,2480
Freddy Grisales,Male,1975,0,football,Colombia,67891
Walter Vargas,Male,1992,0,sport,Colombia,5100
Mike Bahia,Male,1987,0,singer,Colombia,377810
Nacho (singer),Male,1983,0,activist,Venezuela - Colombia,841579
Gustavo Corredor,Male,1946,0,actor,Colombia,5552
Robo (musician),Male,1955,0,music,Colombia - US,132006
Hernando Tellez,Male,1908,1966,writer,Colombia,75140
Cristian Torres (cyclisme 1991),Male,1991,0,sport,Colombia,175
Juan Pablo Rendon,Male,1989,0,sport,Colombia,260
Roller Diagama,Male,1994,0,sport,Colombia,688
Diana Arrechea,Female,1994,2015,player,Colombia,245
Amanda Coneo,Female,1996,0,player,Colombia,6808
Gabriela Coneo,Female,1993,0,player,Colombia,799
Camila Gomez,Female,1995,0,player,Colombia,2697
Libys Marmolejo,Female,1992,0,player,Colombia,551
Maria Marin,Female,1995,0,player,Colombia,9030
Maria Martinez (volleyball),Female,1995,0,player,Colombia,1662
Dayana Segovia,Female,1996,0,player,Colombia,1053
Yeisy Soto,Female,1996,0,player,Colombia,1840
Ana-M. Betancourt,Female,0,0,sport,Colombia,502
Nancy Casallas,Female,1981,0,sport,Colombia,1008
Leidy Natalia Munoz Ruiz,Female,1985,0,sport,Colombia,618
Adriana Muriel,Female,1964,0,sport,Colombia,800
Valentina Paniagua,Female,1994,0,sport,Colombia,424
Daniela Salazar,Female,0,0,sport,Colombia,5020
Ana Sanabria,Female,1990,0,sport,Colombia,7644
Luz Adriana Tovar,Female,1983,0,sport,Colombia,2296
Magdaly Trujillo,Female,1984,0,sport,Colombia,374
Viviana Velasquez,Female,1991,0,sport,Colombia,401
Juliana Betancourth,Female,1986,0,actor,Colombia,3435
Jaime Callejas,Male,1940,0,sport,Colombia,400
Luis Colina,Male,1941,0,sport,Colombia,822
Andres Salgado,Male,1971,0,writer,Colombia,6065
Brayan Angulo,Male,1989,0,football,Colombia - Spain,121596
Carlos Trujillo (Bauingenieur),Male,1956,1993,academic,Colombia,1002
Cristina Gallego,Female,1978,0,film,Colombia,13461
Jesus Pinzon Urrea,Male,1928,2016,pianist,Colombia,3780
Juan Carlos Iragorri,Male,1961,0,journalist,Colombia,9906
Jennifer Montoya,Female,1985,0,journalist,Colombia,44515
Catalina Sandino Moreno,Female,1981,0,actor,Colombia,876490
Juan Fernando Gutierrez,Male,1980,0,singer,Colombia,881
Isidoro Barriga,Male,1801,1850,militar,Colombia,5041
Andrea Botero Coy,Female,1988,0,sport,Colombia,772
Luis Hurtado (footballer),Male,1994,0,football,Colombia,31529
Jonathan Marin,Male,1982,0,sport,Colombia,1004
Manuel Gonzalez (sport shooter),Male,1934,0,sport,Colombia,245
Guillermo Martinez (sport shooter),Male,1930,0,sport,Colombia,275
Silvia Arango,Female,1948,0,architect,Colombia,4405
Santiago Mosquera,Male,1995,0,football,Colombia,76744
Oscar Diaz Asprilla,Male,1972,0,football,Colombia,8810
Jacinto Navarrete,Male,1962,0,runner,Colombia,933
Jersson Gonzalez,Male,1975,0,football,Colombia,35779
Daniel Raisbeck,Male,1982,0,politician,Colombia,15569
Saul Fajardo,Male,1914,1952,politician,Colombia,8796
Pedro Manuel Salamanca Mantilla,Male,1961,0,priest,Colombia,903
Luis Manuel Ali Herrera,Male,1967,0,priest,Colombia,3914
Miguel Fernando Gonzalez Marino,Male,1966,0,priest,Colombia,349
Augusto Sarmiento Rosillo,Male,1927,0,surgeon,Colombia,1530
Robinson Chalapud,Male,1984,0,sport,Colombia,12405
Gustavo Zalamea,Male,1951,2011,artist,Colombia,5033
Lacydes Moreno Blanco,Male,1920,2015,historian,Colombia,3296
Jayro Campos,Male,1984,0,football,Ecuador - Colombia,27772
Ivan Cordoba,Male,1976,0,football,Colombia,615756
Danna Garcia,Female,1978,0,actor,Colombia,1857989
Vicente Revellon,Male,1950,0,football,Colombia,689
Luis Nunez (Colombian footballer born 1983),Male,1983,0,football,Colombia,11902
Sofia Vergara,Female,1972,0,actor,Colombia - US,18291114
Fidel Chacon,Male,1980,0,sport,Colombia,888
Steven Goldstein (racing driver),Male,1981,0,driver,Colombia,20023
Jairo Patino,Male,1978,0,football,Colombia,96474
Roberto Carlos Cortes,Male,1977,0,football,Colombia,29333
Alexis Garcia,Male,1960,0,football,Colombia,89799
John Wilmar Perez,Male,1970,0,football,Colombia,15980
Miguel Abadia Mendez,Male,1867,1947,lawyer,Colombia,204341
Maria Nela Sinisterra,Female,1982,0,actor,Colombia,44328
Dario Bottinelli,Male,1986,0,football,Argentina - Colombia,255616
Fabian Vargas,Male,1980,0,football,Colombia,206378
Rodolfo Llinas,Male,1934,0,neurologist,Colombia,469897
Jose Abello Silva,Male,1954,0,drug traffick,Colombia,174635
Johanna Calle,Female,1965,0,artist,Colombia,2634
Andres Felipe Solano,Male,1977,0,novelist,Colombia,5818
Yayo (illustrator),Male,1961,0,writer,Colombia - Canada,1242
Cesar Tajan,Male,1991,0,football,Colombia,6800
Wilson Enrique Rodriguez,Male,1994,0,sport,Colombia,4544
Yeison Chaparro,Male,1991,0,sport,Colombia,281
Tomas Vargas Osorio,Male,1908,1941,writer,Colombia,5240
Edwar Ortiz,Male,1980,0,sport,Colombia,1415
Leonardo Acevedo,Male,1996,0,football,Colombia,33665
Tania Robledo,Female,0,0,actor,Colombia,68592
Mariana Duque Marino,Female,1989,0,player,Colombia,82433
Tatiana Santo Domingo,Female,1983,0,socialite,Switzerland - Colombia,614984
Jose Ricardo Perez,Male,1963,0,football,Colombia,16629
Ruben Dario Hernandez,Male,1965,0,football,Colombia,33990
Mariana Pajon,Female,1991,0,sport,Colombia,733652
Jose Moreno Mora,Male,1981,0,football,Colombia,38871
Nestor Ortiz,Male,1968,0,football,Colombia,6446
Francisco Sotomayor,Male,0,1630,prelate,Colombia,1293
Carlos Adolfo Urueta,Male,1879,1931,civil service,Colombia,909
Pedro Jose de Arteta,Male,1797,1873,politician,Colombia,13508
Climaco Calderon,Male,1852,1913,diplomat,Colombia,21030
Jaime Gomez Velasquez,Male,1950,2006,trade union,Colombia,3008
Rodrigo Lara Sanchez,Male,1971,0,physician,Colombia,1788
Liliana Ibarra,Female,1972,0,judo,Colombia,363
Angela Valles,Female,1972,0,judo,Colombia,179
Teresa Salamanca,Female,1973,0,politician,Colombia,1735
Pedro Castro (yudoca),Male,1987,0,judo,Colombia,4020
John Futtinico,Male,1989,0,judo,Colombia,222
Juan Deusa,Male,1992,0,football,Colombia,1095
Yeiner Orozco,Male,1993,0,football,Colombia,1804
Didier Pino,Male,1995,0,football,Colombia,1160
Julian Figueroa,Male,1993,0,football,Colombia,64023
Maria Beatriz Aniceto Pardo,Female,1965,0,activist,Colombia,1074
Gloria Amparo Rodriguez,Female,1963,0,lawyer,Colombia,2647
Hernan Sanchez,Male,1984,0,sport,Colombia,315
Catalina Escobar,Female,1990,0,gymnast,Colombia,13996
Ruben Murillo,Male,1990,0,sport,Colombia,215
Caterine Cifuentes,Female,1992,0,wrestler,Colombia,351
Yilmar Filigrana,Male,1990,0,football,Colombia,29895
Sebastian Herrera Cardona,Male,1995,0,football,Colombia,1742
Dayro Mosquera,Male,1995,0,football,Colombia,15191
Damir Ceter,Male,1997,0,football,Colombia,92636
Octavio Zapata,Male,1997,0,football,Colombia,1820
Fernando Hoyos,Male,1921,0,sport,Colombia,917
Gerardo Gonzalez,Male,1932,0,sport,Colombia,767
Alfonso Rodriguez (sport shooter),Male,1929,0,sport,Colombia,598
Marcio Cruz,Male,1971,0,football,Brazil - Colombia,8705
Wbeimar Angulo Mosquera,Male,1992,0,football,Colombia,6530
Christian Rivera,Male,1996,0,football,Colombia,11677
Enrique Ponton,Male,1932,1981,actor,Colombia,3268
Crispin Villazon De Armas,Male,1928,2015,lawyer,Colombia,4132
Luis Eduardo Motoa,Male,1951,0,actor,Colombia,50821
Carlos Sarmiento Lora,Male,1905,1980,business,Colombia,7198
Nicolas Giraldo,Male,1993,0,football,Colombia,1007
Yadinis Amaris,Female,1984,0,judo,Colombia,3465
Fabiola Zuluaga,Female,1979,0,player,Colombia,50376
Rene Higuita,Male,1966,0,football,Colombia,3836645
Javier de Nicolo,Male,1928,2016,activist,Colombia - Italy,13082
Bella Clara Ventura,Female,0,0,novelist,Colombia,1599
David Sanchez Juliao,Male,1945,2011,author,Colombia,72024
Saul Suarez,Male,0,0,football,Colombia,945
Julian Suarez,Male,1991,0,sport,Colombia,212
Alex Gorayeb,Male,1924,1996,business,Philippines - Colombia,10285
Miguel Calixto,Male,1994,0,sport,Colombia,452
Andres Valencia,Male,1992,0,football,Colombia,1428
Didier Yamit Lugo Sichaca,Male,1991,0,gymnast,Colombia,620
Bibiana Velez,Female,1983,0,gymnast,Colombia,1045
Alberto Carrasquilla Barrera,Male,1959,0,politician,Colombia,71137
Sandra Gomez,Female,1971,0,sport,Colombia,1140
Hector Valenzuela,Male,0,0,sport,Colombia,636
Eladio Velez,Male,1897,1967,painter,Colombia,11911
Jeanneth Perez,Female,1973,0,botanist,Colombia,775
Ricardo Alfonso Ferro,Male,1973,0,lawyer,Colombia,6246
Solita Salgado,Female,1914,1987,swimmer,Colombia - France,1082
Jeison Quinones,Male,1986,0,football,Colombia,8761
Luis Gaitan (1913-1998),Male,1913,1998,music,Colombia,1233
Aristides Fernandez,Male,1851,1923,militar,Colombia,3722
Rodrigo Triana,Male,1963,0,film,Colombia,13685
Jose Felix Lafaurie,Male,0,0,politician,Colombia,54899
Margoth Velasquez,Female,1955,0,actor,Colombia,18484
Mauricio Serna,Male,1968,0,football,Colombia,193203
Emilio Martinez Rosales,Male,1955,0,lawyer,Colombia,2980
Raul Alfonso Carrillo Martinez,Male,1964,0,priest,Colombia,412
Jaime Cristobal Abril Gonzalez,Male,1972,0,priest,Colombia,2084
Jaime Uriel Sanabria Arias,Male,1970,0,priest,Colombia,679
Ricardo Torres (boxer),Male,1980,0,boxer,Colombia,29641
Emiliano Zuleta Diaz,Male,1944,0,music,Colombia,24683
Alejandro Ramirez (S�nger),Male,1946,0,opera,Colombia,1039
Pedro Pablo Trujillo,Male,1960,0,lawyer,Colombia,714
Andres Saavedra (producer),Male,1982,0,producer,Colombia,8019
Erick Cuellar,Male,1979,0,actor,Colombia,14368
Jaime Ramirez Gomez,Male,1940,1986,police,Colombia,435538
Manuel Rodriguez Torices,Male,1788,1816,lawyer,Colombia,20544
Manuel Duque,Male,1967,0,religious,Colombia,12935
Raul Castano Escobar,Male,1956,0,composer,Colombia,1540
Manuel Ramirez (athlete),Male,1957,0,athletic,Colombia,302
Oscar Guardiola-Rivera,Male,1969,0,philosopher,Colombia,3022
Luis Emilio Sierra,Male,1960,0,politician,Colombia,4463
Francisco Pizano de Brigard,Male,1926,2018,architect,Colombia,7535
Eduardo Pulgar,Male,1969,0,politician,Colombia,7710
Franco Ovalle,Male,1965,0,politician,Colombia,11503
Leon Mario Bedoya,Male,1973,0,politician,Colombia,4424
Alfredo Cuello Davila,Male,0,0,politician,Colombia,2470
Luis Guillermo Vasco,Male,0,0,scientist,Colombia,891
Alfredo Araujo Castro,Male,0,0,politician,Colombia,2796
Abril Schreiber,Female,1987,0,actor,Venezuela - Colombia,85409
Dario Pavajeau Molina,Male,0,0,politician,Colombia,2290
Fausto Cotes Nunez,Male,0,0,politician,Colombia,957
Jaime Murgas Arzuaga,Male,0,0,lawyer,Colombia,1139
Edgardo Pupo Pupo,Male,0,0,politician,Colombia,1180
Jorge Fernando Perdomo,Male,1975,0,lawyer,Colombia,15953
Anibal Baeza,Male,1976,0,actor,Colombia,122
Wilson Segura,Male,1976,0,football,Colombia,3879
Juan Diego Puerta Lopez,Male,1974,0,film,Colombia,2110
Saul Prada-Pedreros,Male,0,0,ichthyologist,Colombia,90
Jorge Eduardo Rojas Giraldo,Male,1973,0,politician,Colombia,12566
Omar Santiago Molina,Male,1998,0,football,Colombia,1442
Juan David Rengifo,Male,1998,0,football,Colombia,1334
John Breyner Caicedo,Male,1995,0,football,Colombia,1666
Carlos Andres Medrano Pernett,Male,1988,0,football,Colombia,561
Tomas Sierra,Male,1996,0,football,Colombia,2358
Jhon Esper Toledo,Male,1970,0,politician,Colombia,1086
German Arce,Male,1972,0,economist,Colombia,13326
Diego Fallon Carrion,Male,1834,1905,writer,Colombia,15033
Federico Lleras Acosta,Male,1877,1938,physician,Colombia,13675
Tatiana Ariza,Female,1991,0,football,Colombia,23740
Emiliano Zuleta,Male,1912,2005,singer,Colombia,73168
Sebastian Munoz,Male,1993,0,sport,Colombia,25421
Manuela Vargas,Female,1996,0,player,Colombia,2019
Santiago Ramirez (cyclist),Male,1994,0,sport,Colombia,2593
Carlos Ramirez (BMX rider),Male,1994,0,sport,Colombia,3418
Yurany Avendano,Female,1993,0,gymnast,Colombia,1240
Dolly Cifuentes Villa,Female,1964,0,drug traffick,Colombia,8028
Victor Arboleda,Male,1997,0,football,Colombia,13034
Jefferson Tarifa,Male,1996,0,football,Colombia,4144
Breiner Paz,Male,1997,0,football,Colombia,7562
Carlos Izquierdo,Male,1997,0,wrestler,Colombia,1712
Alberto Pacheco Balmaceda,Male,1935,1983,singer,Colombia,4089
Adriana Magali Matiz,Female,1975,0,politician,Colombia,3355
Nelson Jair Cardona Ramirez,Male,1969,0,priest,Colombia,370
Hermogenes Maza,Male,1792,1847,militar,Colombia,5452
Jose Mires,Male,1785,1829,militar,Colombia - Ireland,1984
Santiago Canon,Male,1995,0,music,Colombia,8059
Teodoro Gutierrez Calderon,Male,1890,1958,author,Colombia,3844
Jorge Gerlein,Male,1941,2016,politician,Colombia,2787
Mauricio Canaveral Ruiz,Male,1979,0,historian,Colombia,395
Victor Micolta,Male,1985,0,football,Colombia - Spain,5240
Tomas Dario Gutierrez,Male,1953,0,lawyer,Colombia,4916
Rodin Quinones,Male,1995,0,football,Colombia,5162
Luis Enrique Quinones,Male,1991,0,football,Colombia,263599
Adolfo Pacheco,Male,1940,0,music,Colombia,10385
Bernardo Romero Lozano,Male,1909,1971,producer,Colombia,3880
Austin Bergner,Male,1997,0,baseball,Colombia - US,10948
Tayron Guerrero,Male,1991,0,baseball,Colombia,38264
Sergio Angulo,Male,1960,0,football,Colombia,20818
Gilo Muirragui,Male,1925,0,economist,US - Colombia,470
Giovanni Moreno,Male,1986,0,football,Colombia,787898
Esperanza Gomez,Female,1983,0,model,Colombia,1213475
Julian Orrego,Male,1981,0,singer,Colombia,28100
Juan Ernesto Chamorro,Male,1991,0,sport,Colombia,12784
Gustavo Giron Marulanda,Male,1986,0,football,Colombia - Australia,24702
Emigdio Benitez Plata,Male,1788,1816,militar,Colombia,968
Jorge Consuegra,Male,1949,2016,journalist,Colombia,4401
Santiago Gamboa,Male,1965,0,writer,Colombia,93536
Greg Nappo,Male,1988,0,baseball,Colombia - US,5386
Aldemar Reyes,Male,1995,0,sport,Colombia,7417
Carlos Mario Alvarez,Male,1967,2022,politician,Colombia,4858
Luis Fayad,Male,1945,0,writer,Colombia,9770
Willington Ortiz,Male,1952,0,football,Colombia,120673
Hernan Aguirre,Male,1995,0,sport,Colombia,4509
Douglas Franco,Male,1981,0,coach,Colombia,939
Jimmy Pino,Male,1978,0,sport,Colombia,630
Philippe Moggio,Male,1973,0,tennis,France - Colombia,8414
Jorge Gamboa Mendoza,Male,1970,0,anthropologist,Colombia,3816
Hernando Camargo Quijano,Male,1920,2006,architect,Colombia,1509
Diego Cuadros,Male,1996,0,football,Colombia,2475
Carlos Riascos,Male,1996,0,football,Colombia,2089
Juan Pablo Ramirez,Male,1997,0,football,Colombia,48947
Clemente Palacios,Male,1993,0,football,Colombia,11120
Carlos Urrego,Male,1988,0,football,Colombia,1307
Margarita Garcia Robayo,Female,1980,0,writer,Colombia,10383
Shirley Guerrero,Female,1986,0,judo,Colombia,213
Emiliana Arango,Female,2000,0,player,Colombia,17337
